Encoder,LearningAlgorithm,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water,MeanScore
GLMMEncoder,MLPRegressor,0.2320000000000002,0.117936117936118,0.17509727626459134,0.31469979296066275,0.6553191489361705,1.4293333333333333,0.20496894409937869,0.66890756302521,0.20920502092050144,0.05917159763313613,0.15763546798029554,0.9354207436399227,0.4186046511627907,0.005934718100890212,0.0,0.37228229173286675
LeaveOneOutEncoder,MLPRegressor,0.20000000000000018,0.15233415233415237,0.12451361867704289,0.23188405797101458,1.2765957446808507,1.3386666666666667,0.3167701863354036,0.48739495798319327,0.2761506276150622,0.04733727810650891,0.1182266009852217,1.3385518590998084,0.34883720930232553,0.0,0.03448275862068968,0.41944971455852936
CatBoostEncoder,MLPRegressor,0.15200000000000014,0.12285012285012285,0.13229571984435806,0.21118012422360255,1.31063829787234,1.669333333333333,0.24844720496894393,0.40672268907563014,0.24267782426778184,0.05917159763313613,0.15200562983814211,1.2172211350293558,0.37209302325581395,0.0,0.0,0.4197757801461707
GLMMEncoder,MLPRegressor2,0.08000000000000007,0.03439803439803443,0.050583657587548674,0.06625258799171851,1.0042553191489367,1.1733333333333331,0.14285714285714296,0.48403361344537815,1.1966527196652719,0.42603550295857884,0.09289232934553132,1.0684931506849353,0.069767441860465,0.10682492581602383,0.33103448275862096,0.42182761612343467
MEstimateEncoder,MLPRegressor,0.16800000000000015,0.16707616707616713,0.08949416342412457,0.13664596273291943,0.9787234042553196,1.3973333333333333,0.19875776397515507,0.7428571428571429,0.25104602510460194,0.04733727810650891,0.1745249824067558,1.19765166340509,0.37209302325581395,0.4391691394658754,0.02068965517241381,0.42542664697141486
OneHotEncoder,GradientBoostingRegressor,0.008000000000000007,0.5110565110565112,0.16342412451361857,0.9730848861283649,0.1702127659574469,0.005333333333333337,0.0993788819875777,0.5008403361344538,0.5857740585774057,0.0,1.024630541871921,0.5636007827788663,0.4651162790697673,0.14836795252225515,1.1793103448275863,0.4265420532506072
SumEncoder,GradientBoostingRegressor,0.008000000000000007,0.5307125307125309,0.19844357976653687,0.9606625258799176,0.09361702127659578,0.010666666666666673,0.10559006211180132,0.507563025210084,0.610878661087866,0.0,1.0372976776917664,0.5596868884540118,0.4651162790697673,0.14836795252225515,1.1793103448275863,0.4277275476851591
CatBoostEncoder,MLPRegressor2,0.1120000000000001,0.029484029484029516,0.0,0.06625258799171851,1.2085106382978719,1.3813333333333333,0.13043478260869573,0.15126050420168072,1.2552301255230125,0.4497041420118333,0.06755805770584093,1.1741682974559697,0.046511627906976785,0.05934718100890213,0.31034482758620713,0.42947600900773814
OneHotEncoder,RandomForestRegressor,0.08000000000000007,0.7862407862407864,0.40466926070038894,0.8861283643892345,0.0,0.22400000000000014,0.16149068322981378,0.9109243697478993,0.17573221757322108,0.3076923076923079,1.0935960591133003,0.28180039138943314,0.44186046511627897,0.12462908011869446,0.5931034482758625,0.43145782890581486
LeaveOneOutEncoder,MLPRegressor2,0.17600000000000016,0.04914004914004912,0.09338521400778216,0.12008281573498981,1.2765957446808507,1.0719999999999998,0.16770186335403703,0.1142857142857143,1.2803347280334727,0.4497041420118333,0.0,1.2524461839530363,0.046511627906976785,0.08308605341246297,0.33103448275862096,0.4341539079519884
HelmertEncoder,GradientBoostingRegressor,0.008000000000000007,0.5307125307125309,0.16342412451361857,0.9565217391304351,0.11063829787234047,0.07466666666666671,0.10559006211180132,0.5747899159663866,0.5774058577405856,0.0,1.0457424349049966,0.5636007827788663,0.4651162790697673,0.17804154302670622,1.1793103448275863,0.43557070528815256
SumEncoder,RandomForestRegressor,0.08800000000000008,0.7862407862407864,0.49416342412451353,0.8778467908902696,0.025531914893617034,0.22400000000000014,0.16149068322981378,0.9277310924369749,0.22594142259414166,0.3076923076923079,1.0865587614356087,0.2974559686888478,0.4186046511627907,0.13056379821958466,0.5862068965517245,0.44253523321073207
TargetEncoder,MLPRegressor2,0.10400000000000009,0.0442260442260442,0.07003891050583662,0.10766045548654259,1.7872340425531914,1.2639999999999998,0.12422360248447213,0.15798319327731097,1.1046025104602517,0.4497041420118333,0.04926108374384233,1.0410958904109606,0.046511627906976785,0.06528189910979233,0.28965517241379335,0.4470319049727232
BinaryEncoder,RandomForestRegressor,0.09600000000000009,0.7813267813267815,0.40466926070038894,0.9026915113871641,0.2893617021276597,0.20800000000000013,0.16770186335403703,0.8067226890756304,0.18410041841004116,0.3195266272189351,1.0795214637579167,0.270058708414873,0.44186046511627897,0.16023738872403556,0.6344827586206901,0.44975077588229545
BaseNEncoder,RandomForestRegressor,0.09600000000000009,0.7764127764127766,0.4163424124513617,0.9068322981366466,0.3063829787234044,0.20800000000000013,0.18633540372670787,0.7966386554621849,0.22594142259414166,0.3195266272189351,1.0738916256157633,0.270058708414873,0.44186046511627897,0.16617210682492578,0.5931034482758625,0.4522332619315909
HelmertEncoder,RandomForestRegressor,0.1120000000000001,0.8206388206388209,0.45136186770428,0.8985507246376817,0.05106382978723407,0.2826666666666665,0.16770186335403703,0.9882352941176472,0.17573221757322108,0.3076923076923079,1.0865587614356087,0.2974559686888478,0.4186046511627907,0.15430267062314537,0.6068965517241384,0.4546308130537618
