Encoder,LearningAlgorithm,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water
Count,RF,0.07633587786259549,0.72992700729927,0.4536489151873766,0.838842975206612,0.24472573839662481,0.3011363636363636,0.19767441860465096,0.7423014586709888,0.21008403361344463,0.3195266272189351,1.0898634076204168,0.3234042553191519,0.41860465116279055,0.2278481012658228,0.6206896551724143
Count,SVM,4.534351145038167,0.997566909975669,1.4240631163708084,1.47107438016529,2.4810126582278498,3.1193181818181817,3.8197674418604644,1.6726094003241494,3.8907563025210075,1.0887573964497035,1.6592379583033787,0.11489361702127744,8.0,2.6265822784810124,0.4551724137931038
Drop,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6118143459915626,2.5625,2.633720930232557,1.6564019448946519,2.6890756302521006,2.6035502958579873,1.141624730409777,0.2255319148936173,13.860465116279068,4.158227848101266,1.8068965517241378
Drop,GBT,0.015267175572519097,0.4574209245742092,0.21696252465483226,0.9256198347107442,0.7172995780590727,0.3011363636363636,0.21511627906976727,0.34683954619124807,0.6302521008403358,1.2189349112426031,0.97196261682243,0.6127659574468105,0.48837209302325574,0.4177215189873418,1.8827586206896552
Drop,KNN,0.8167938931297708,1.245742092457421,1.2820512820512815,1.2355371900826455,0.5654008438818573,1.1306818181818183,0.6686046511627904,1.3354943273906001,0.12605042016806642,2.37869822485207,1.2695902228612508,0.10638297872340602,1.4883720930232558,0.12658227848101278,1.0620689655172415
Drop,NN-1L,0.022900763358778647,0.12652068126520685,0.11834319526627227,0.13223140495867763,1.763713080168778,1.6306818181818181,0.12790697674418613,0.11993517017828205,0.20168067226890682,1.2899408284023663,0.09345794392523364,1.4851063829787279,0.3953488372093023,0.6202531645569622,0.7034482758620695
Drop,NN-2L,0.030534351145038195,0.0,0.06706114398422094,0.028925619834710783,1.518987341772153,1.6363636363636362,0.0,0.0,0.9159663865546218,1.3254437869822482,0.0043134435657800185,1.0936170212766008,0.04651162790697662,0.1772151898734177,0.9586206896551723
Drop,RF,0.06106870229007639,0.6958637469586375,0.5285996055226824,0.8471074380165294,0.21940928270042226,0.35795454545454547,0.22674418604651145,0.7098865478119937,0.2352941176470581,1.5502958579881654,1.0524802300503235,0.3276595744680857,0.44186046511627897,0.2531645569620254,1.3586206896551727
Drop,SVM,0.7862595419847327,0.9635036496350363,1.1873767258382641,1.2107438016528933,0.4135021097046419,1.090909090909091,0.5755813953488369,1.2803889789303082,0.12605042016806642,1.7278106508875737,1.3860531991373113,0.021276595744680448,1.0465116279069764,0.588607594936709,1.0827586206896553
GLMM,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6708860759493684,2.5625,2.6220930232558133,1.7179902755267427,2.6890756302521006,2.6035502958579873,1.141624730409777,0.22127659574468347,13.325581395348834,3.189873417721519,1.7999999999999998
GLMM,GBT,0.038167938931297746,0.5158150851581509,0.20118343195266264,0.9090909090909094,0.9535864978902967,0.7954545454545455,0.26744186046511614,0.5380875202593194,0.5882352941176466,0.0,1.0050323508267434,0.621276595744682,0.34883720930232553,0.48734177215189883,1.1793103448275863
GLMM,KNN,0.8244274809160304,1.3187347931873479,1.1913214990138066,1.2727272727272736,0.8523206751054865,1.1022727272727273,0.7848837209302324,1.487844408427877,0.14285714285714204,1.1360946745562124,1.272465851905104,0.10212765957446843,1.3488372093023255,0.12658227848101278,0.11724137931034492
GLMM,NN-1L,0.21374045801526736,0.13138686131386865,0.33925049309664695,0.2851239669421489,0.6244725738396634,1.5227272727272732,0.19186046511627888,0.6353322528363048,0.21008403361344463,0.05917159763313613,0.14234363767074043,1.0170212765957467,0.3953488372093023,0.012658227848101278,0.0
GLMM,NN-2L,0.06870229007633594,0.04866180048661804,0.12228796844181468,0.03719008264462815,0.9704641350210984,1.2500000000000002,0.13372093023255824,0.4570502431118315,1.2016806722689068,0.42603550295857884,0.07620416966211357,1.1617021276595798,0.04651162790697662,0.12025316455696212,0.33103448275862096
GLMM,RF,0.11450381679389322,0.8175182481751825,0.4497041420118342,0.8842975206611575,0.582278481012659,1.2215909090909094,0.42441860465116277,0.9659643435980554,0.2352941176470581,0.3195266272189351,1.0697340043134433,0.33617021276596093,0.3953488372093023,0.34810126582278494,0.6000000000000004
GLMM,SVM,0.7862595419847327,1.0316301703163016,1.128205128205128,1.2644628099173563,0.582278481012659,1.0795454545454546,0.697674418604651,1.5461912479740683,0.11764705882352859,0.3195266272189351,1.3903666427030912,0.021276595744680448,0.9302325581395349,0.3860759493670886,0.36551724137931063
Hashing,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6118143459915626,2.5625,2.633720930232557,1.6564019448946519,2.6890756302521006,2.6035502958579873,1.141624730409777,0.2255319148936173,13.860465116279068,4.158227848101266,1.8068965517241378
Hashing,GBT,0.030534351145038195,0.4574209245742092,0.11439842209072985,0.9297520661157028,0.7932489451476804,0.1704545454545456,0.20930232558139517,0.4797406807131281,0.6050420168067223,0.3313609467455623,1.0409777138749103,0.6170212765957481,0.44186046511627897,0.3860759493670886,1.1793103448275863
Hashing,KNN,1.1755725190839696,1.5571776155717758,1.2071005917159763,1.2892561983471078,0.8354430379746847,1.1420454545454546,0.9767441860465113,1.6239870340356568,0.1596638655462177,1.7278106508875737,1.2810927390366642,0.055319148936169925,1.4186046511627903,0.5569620253164559,0.0965517241379311
Hashing,NN-1L,0.381679389312977,0.27737226277372257,0.16568047337278097,0.14876033057851237,1.9746835443037993,1.1250000000000002,0.19767441860465096,0.7390599675850893,0.3445378151260498,0.3550295857988168,0.18404025880661395,1.3702127659574503,0.3255813953488371,0.6772151898734177,0.02068965517241381
Hashing,NN-2L,0.3511450381679388,0.18004866180048662,0.06706114398422094,0.03719008264462815,1.8312236286919847,1.426136363636364,0.07558139534883726,0.6547811993517019,1.1092436974789917,0.852071005917159,0.05463695183321348,1.4255319148936203,0.0,0.44303797468354433,0.324137931034483
Hashing,RF,0.09160305343511459,0.7445255474452555,0.4260355029585797,0.8429752066115708,0.2784810126582282,0.28977272727272757,0.23255813953488355,0.8881685575364671,0.2352941176470581,0.6035502958579873,1.0855499640546369,0.3191489361702143,0.41860465116279055,0.2531645569620254,0.6137931034482763
