,,,TargetEncoder
mpg,GradientBoostingRegressor,RMSE,0.289 ±0.093
mpg,GradientBoostingRegressor,MAE,0.141 ±0.021
mpg,GradientBoostingRegressor,R2,0.918 ±0.033
mpg,MLPRegressor,RMSE,0.297 ±0.076
mpg,MLPRegressor,MAE,0.166 ±0.021
mpg,MLPRegressor,R2,0.913 ±0.024
mpg,MLPRegressor2,RMSE,0.278 ±0.076
mpg,MLPRegressor2,MAE,0.155 ±0.025
mpg,MLPRegressor2,R2,0.924 ±0.025
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.657 ±0.207
msleep,KNeighborsRegressor,MAE,0.395 ±0.133
msleep,KNeighborsRegressor,R2,0.563 ±0.122
msleep,SVR,RMSE,0.646 ±0.306
msleep,SVR,MAE,0.225 ±0.078
msleep,SVR,R2,0.581 ±0.248
msleep,RandomForestRegressor,RMSE,0.473 ±0.211
msleep,RandomForestRegressor,MAE,0.235 ±0.133
msleep,RandomForestRegressor,R2,0.772 ±0.119
msleep,GradientBoostingRegressor,RMSE,0.354 ±0.205
msleep,GradientBoostingRegressor,MAE,0.154 ±0.112
msleep,GradientBoostingRegressor,R2,0.864 ±0.120
msleep,MLPRegressor,RMSE,0.345 ±0.208
msleep,MLPRegressor,MAE,0.169 ±0.104
msleep,MLPRegressor,R2,0.843 ±0.187
msleep,MLPRegressor2,RMSE,0.271 ±0.174
msleep,MLPRegressor2,MAE,0.120 ±0.060
msleep,MLPRegressor2,R2,0.895 ±0.158
txhousing,ElasticNet,RMSE,0.614 ±0.034
txhousing,ElasticNet,MAE,0.243 ±0.003
txhousing,ElasticNet,R2,0.625 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.005
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.081 ±0.018
txhousing,SVR,MAE,0.027 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.056 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.056 ±0.004
txhousing,MLPRegressor,MAE,0.021 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.043 ±0.004
txhousing,MLPRegressor2,MAE,0.017 ±0.003
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.776 ±0.260
gtcars,KNeighborsRegressor,MAE,0.395 ±0.142
gtcars,KNeighborsRegressor,R2,0.411 ±0.185
