,,,CatBoostEncoder
mpg,GradientBoostingRegressor,RMSE,0.288 ±0.094
mpg,GradientBoostingRegressor,MAE,0.140 ±0.019
mpg,GradientBoostingRegressor,R2,0.918 ±0.033
mpg,MLPRegressor,RMSE,0.297 ±0.078
mpg,MLPRegressor,MAE,0.165 ±0.022
mpg,MLPRegressor,R2,0.912 ±0.033
mpg,MLPRegressor2,RMSE,0.271 ±0.064
mpg,MLPRegressor2,MAE,0.152 ±0.021
mpg,MLPRegressor2,R2,0.928 ±0.018
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.653 ±0.207
msleep,KNeighborsRegressor,MAE,0.396 ±0.134
msleep,KNeighborsRegressor,R2,0.570 ±0.114
msleep,SVR,RMSE,0.643 ±0.307
msleep,SVR,MAE,0.216 ±0.077
msleep,SVR,R2,0.586 ±0.245
msleep,RandomForestRegressor,RMSE,0.461 ±0.214
msleep,RandomForestRegressor,MAE,0.230 ±0.136
msleep,RandomForestRegressor,R2,0.785 ±0.111
msleep,GradientBoostingRegressor,RMSE,0.363 ±0.203
msleep,GradientBoostingRegressor,MAE,0.159 ±0.107
msleep,GradientBoostingRegressor,R2,0.859 ±0.118
msleep,MLPRegressor,RMSE,0.371 ±0.268
msleep,MLPRegressor,MAE,0.163 ±0.097
msleep,MLPRegressor,R2,0.811 ±0.249
msleep,MLPRegressor2,RMSE,0.300 ±0.262
msleep,MLPRegressor2,MAE,0.115 ±0.053
msleep,MLPRegressor2,R2,0.838 ±0.334
txhousing,ElasticNet,RMSE,0.615 ±0.034
txhousing,ElasticNet,MAE,0.244 ±0.003
txhousing,ElasticNet,R2,0.622 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.005
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.081 ±0.018
txhousing,SVR,MAE,0.027 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.055 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.056 ±0.004
txhousing,MLPRegressor,MAE,0.021 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.042 ±0.002
txhousing,MLPRegressor2,MAE,0.017 ±0.002
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.772 ±0.259
gtcars,KNeighborsRegressor,MAE,0.401 ±0.134
gtcars,KNeighborsRegressor,R2,0.417 ±0.172
gtcars,SVR,RMSE,0.748 ±0.278
gtcars,SVR,MAE,0.349 ±0.122
gtcars,SVR,R2,0.478 ±0.120
gtcars,RandomForestRegressor,RMSE,0.723 ±0.259
gtcars,RandomForestRegressor,MAE,0.324 ±0.091
gtcars,RandomForestRegressor,R2,0.485 ±0.201
gtcars,GradientBoostingRegressor,RMSE,0.775 ±0.259
gtcars,GradientBoostingRegressor,MAE,0.299 ±0.079
gtcars,GradientBoostingRegressor,R2,0.365 ±0.443
