,,,BaseNEncoder
mpg,GradientBoostingRegressor,RMSE,0.273 ±0.077
mpg,GradientBoostingRegressor,MAE,0.128 ±0.024
mpg,GradientBoostingRegressor,R2,0.927 ±0.021
mpg,MLPRegressor,RMSE,0.284 ±0.074
mpg,MLPRegressor,MAE,0.155 ±0.021
mpg,MLPRegressor,R2,0.920 ±0.023
mpg,MLPRegressor2,RMSE,0.267 ±0.061
mpg,MLPRegressor2,MAE,0.139 ±0.024
mpg,MLPRegressor2,R2,0.930 ±0.016
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.685 ±0.186
msleep,KNeighborsRegressor,MAE,0.460 ±0.140
msleep,KNeighborsRegressor,R2,0.517 ±0.117
msleep,SVR,RMSE,0.733 ±0.287
msleep,SVR,MAE,0.357 ±0.136
msleep,SVR,R2,0.460 ±0.241
msleep,RandomForestRegressor,RMSE,0.464 ±0.200
msleep,RandomForestRegressor,MAE,0.214 ±0.089
msleep,RandomForestRegressor,R2,0.783 ±0.101
msleep,GradientBoostingRegressor,RMSE,0.362 ±0.201
msleep,GradientBoostingRegressor,MAE,0.154 ±0.099
msleep,GradientBoostingRegressor,R2,0.866 ±0.089
msleep,MLPRegressor,RMSE,0.510 ±0.193
msleep,MLPRegressor,MAE,0.350 ±0.163
msleep,MLPRegressor,R2,0.701 ±0.206
msleep,MLPRegressor2,RMSE,0.437 ±0.166
msleep,MLPRegressor2,MAE,0.275 ±0.115
msleep,MLPRegressor2,R2,0.786 ±0.139
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.095 ±0.005
txhousing,KNeighborsRegressor,MAE,0.018 ±0.001
txhousing,KNeighborsRegressor,R2,0.991 ±0.001
txhousing,SVR,RMSE,0.083 ±0.016
txhousing,SVR,MAE,0.035 ±0.001
txhousing,SVR,R2,0.993 ±0.002
txhousing,RandomForestRegressor,RMSE,0.059 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.996 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.061 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.055 ±0.004
txhousing,MLPRegressor,MAE,0.026 ±0.002
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.042 ±0.002
txhousing,MLPRegressor2,MAE,0.020 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
