,,,JamesSteinEncoder
mpg,GradientBoostingRegressor,RMSE,0.301 ±0.088
mpg,GradientBoostingRegressor,MAE,0.146 ±0.022
mpg,GradientBoostingRegressor,R2,0.911 ±0.031
mpg,MLPRegressor,RMSE,0.287 ±0.082
mpg,MLPRegressor,MAE,0.163 ±0.024
mpg,MLPRegressor,R2,0.917 ±0.033
mpg,MLPRegressor2,RMSE,0.271 ±0.079
mpg,MLPRegressor2,MAE,0.148 ±0.025
mpg,MLPRegressor2,R2,0.926 ±0.036
msleep,ElasticNet,RMSE,0.771 ±0.208
msleep,ElasticNet,MAE,0.429 ±0.128
msleep,ElasticNet,R2,0.398 ±0.111
msleep,KNeighborsRegressor,RMSE,0.707 ±0.212
msleep,KNeighborsRegressor,MAE,0.433 ±0.142
msleep,KNeighborsRegressor,R2,0.495 ±0.129
msleep,SVR,RMSE,0.727 ±0.318
msleep,SVR,MAE,0.309 ±0.115
msleep,SVR,R2,0.474 ±0.248
msleep,RandomForestRegressor,RMSE,0.533 ±0.232
msleep,RandomForestRegressor,MAE,0.259 ±0.117
msleep,RandomForestRegressor,R2,0.714 ±0.136
msleep,GradientBoostingRegressor,RMSE,0.391 ±0.225
msleep,GradientBoostingRegressor,MAE,0.185 ±0.107
msleep,GradientBoostingRegressor,R2,0.843 ±0.112
msleep,MLPRegressor,RMSE,0.458 ±0.190
msleep,MLPRegressor,MAE,0.258 ±0.135
msleep,MLPRegressor,R2,0.754 ±0.176
msleep,MLPRegressor2,RMSE,0.436 ±0.211
msleep,MLPRegressor2,MAE,0.219 ±0.086
msleep,MLPRegressor2,R2,0.789 ±0.140
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.098 ±0.004
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.084 ±0.019
txhousing,SVR,MAE,0.029 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.056 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
