,,,BackwardDifferenceEncoder
mpg,GradientBoostingRegressor,RMSE,0.270 ±0.074
mpg,GradientBoostingRegressor,MAE,0.126 ±0.024
mpg,GradientBoostingRegressor,R2,0.929 ±0.020
mpg,MLPRegressor,RMSE,0.313 ±0.089
mpg,MLPRegressor,MAE,0.168 ±0.024
mpg,MLPRegressor,R2,0.903 ±0.032
mpg,MLPRegressor2,RMSE,0.288 ±0.080
mpg,MLPRegressor2,MAE,0.154 ±0.022
mpg,MLPRegressor2,R2,0.918 ±0.025
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.688 ±0.193
msleep,KNeighborsRegressor,MAE,0.452 ±0.134
msleep,KNeighborsRegressor,R2,0.516 ±0.120
msleep,SVR,RMSE,0.705 ±0.274
msleep,SVR,MAE,0.347 ±0.138
msleep,SVR,R2,0.503 ±0.205
msleep,RandomForestRegressor,RMSE,0.471 ±0.207
msleep,RandomForestRegressor,MAE,0.222 ±0.087
msleep,RandomForestRegressor,R2,0.777 ±0.103
msleep,GradientBoostingRegressor,RMSE,0.377 ±0.206
msleep,GradientBoostingRegressor,MAE,0.151 ±0.103
msleep,GradientBoostingRegressor,R2,0.852 ±0.105
msleep,MLPRegressor,RMSE,0.553 ±0.176
msleep,MLPRegressor,MAE,0.335 ±0.137
msleep,MLPRegressor,R2,0.648 ±0.232
msleep,MLPRegressor2,RMSE,0.465 ±0.157
msleep,MLPRegressor2,MAE,0.280 ±0.113
msleep,MLPRegressor2,R2,0.757 ±0.162
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.100 ±0.007
txhousing,KNeighborsRegressor,MAE,0.018 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.074 ±0.012
txhousing,SVR,MAE,0.036 ±0.001
txhousing,SVR,R2,0.995 ±0.001
txhousing,RandomForestRegressor,RMSE,0.059 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.053 ±0.004
txhousing,MLPRegressor,MAE,0.023 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.042 ±0.002
txhousing,MLPRegressor2,MAE,0.019 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.849 ±0.271
gtcars,KNeighborsRegressor,MAE,0.465 ±0.151
gtcars,KNeighborsRegressor,R2,0.282 ±0.233
gtcars,SVR,RMSE,0.777 ±0.294
gtcars,SVR,MAE,0.390 ±0.125
gtcars,SVR,R2,0.436 ±0.138
gtcars,RandomForestRegressor,RMSE,0.732 ±0.256
gtcars,RandomForestRegressor,MAE,0.329 ±0.092
gtcars,RandomForestRegressor,R2,0.481 ±0.157
gtcars,GradientBoostingRegressor,RMSE,0.780 ±0.238
gtcars,GradientBoostingRegressor,MAE,0.308 ±0.096
gtcars,GradientBoostingRegressor,R2,0.360 ±0.372
gtcars,MLPRegressor,RMSE,0.856 ±0.227
gtcars,MLPRegressor,MAE,0.449 ±0.127
gtcars,MLPRegressor,R2,0.221 ±0.457
gtcars,MLPRegressor2,RMSE,0.845 ±0.208
gtcars,MLPRegressor2,MAE,0.402 ±0.113
gtcars,MLPRegressor2,R2,0.212 ±0.500
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.734 ±0.083
water,KNeighborsRegressor,MAE,0.567 ±0.117
water,KNeighborsRegressor,R2,0.440 ±0.111
water,SVR,RMSE,0.762 ±0.109
water,SVR,MAE,0.597 ±0.114
water,SVR,R2,0.401 ±0.117
water,RandomForestRegressor,RMSE,0.798 ±0.090
water,RandomForestRegressor,MAE,0.566 ±0.134
water,RandomForestRegressor,R2,0.332 ±0.163
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.636 ±0.126
water,GradientBoostingRegressor,R2,0.182 ±0.237
water,MLPRegressor,RMSE,0.709 ±0.096
water,MLPRegressor,MAE,0.544 ±0.122
water,MLPRegressor,R2,0.478 ±0.122
water,MLPRegressor2,RMSE,0.757 ±0.114
water,MLPRegressor2,MAE,0.585 ±0.123
water,MLPRegressor2,R2,0.406 ±0.146
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.682 ±0.241
ca2006,KNeighborsRegressor,MAE,0.437 ±0.187
ca2006,KNeighborsRegressor,R2,0.482 ±0.328
ca2006,SVR,RMSE,0.641 ±0.237
ca2006,SVR,MAE,0.296 ±0.169
ca2006,SVR,R2,0.555 ±0.250
ca2006,RandomForestRegressor,RMSE,0.481 ±0.201
