,,,GLMMEncoder
mpg,GradientBoostingRegressor,RMSE,0.301 ±0.093
mpg,GradientBoostingRegressor,MAE,0.143 ±0.019
mpg,GradientBoostingRegressor,R2,0.910 ±0.034
mpg,MLPRegressor,RMSE,0.288 ±0.072
mpg,MLPRegressor,MAE,0.165 ±0.026
mpg,MLPRegressor,R2,0.916 ±0.028
mpg,MLPRegressor2,RMSE,0.278 ±0.070
mpg,MLPRegressor2,MAE,0.155 ±0.029
mpg,MLPRegressor2,R2,0.923 ±0.024
msleep,ElasticNet,RMSE,0.760 ±0.200
msleep,ElasticNet,MAE,0.420 ±0.116
msleep,ElasticNet,R2,0.413 ±0.104
msleep,KNeighborsRegressor,RMSE,0.689 ±0.208
msleep,KNeighborsRegressor,MAE,0.417 ±0.132
msleep,KNeighborsRegressor,R2,0.522 ±0.113
msleep,SVR,RMSE,0.707 ±0.317
msleep,SVR,MAE,0.278 ±0.108
msleep,SVR,R2,0.503 ±0.247
msleep,RandomForestRegressor,RMSE,0.528 ±0.227
msleep,RandomForestRegressor,MAE,0.260 ±0.104
msleep,RandomForestRegressor,R2,0.719 ±0.132
msleep,GradientBoostingRegressor,RMSE,0.396 ±0.229
msleep,GradientBoostingRegressor,MAE,0.195 ±0.109
msleep,GradientBoostingRegressor,R2,0.836 ±0.128
msleep,MLPRegressor,RMSE,0.426 ±0.236
msleep,MLPRegressor,MAE,0.243 ±0.112
msleep,MLPRegressor,R2,0.788 ±0.205
msleep,MLPRegressor2,RMSE,0.371 ±0.213
msleep,MLPRegressor2,MAE,0.183 ±0.111
msleep,MLPRegressor2,R2,0.847 ±0.136
txhousing,ElasticNet,RMSE,0.614 ±0.034
txhousing,ElasticNet,MAE,0.243 ±0.003
txhousing,ElasticNet,R2,0.624 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.005
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.081 ±0.018
txhousing,SVR,MAE,0.027 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.056 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.058 ±0.003
txhousing,MLPRegressor,MAE,0.020 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.043 ±0.002
