,,,DropEncoder
mpg,GradientBoostingRegressor,RMSE,0.292 ±0.074
mpg,GradientBoostingRegressor,MAE,0.127 ±0.022
mpg,GradientBoostingRegressor,R2,0.916 ±0.020
mpg,MLPRegressor,RMSE,0.278 ±0.064
mpg,MLPRegressor,MAE,0.151 ±0.023
mpg,MLPRegressor,R2,0.924 ±0.017
mpg,MLPRegressor2,RMSE,0.255 ±0.051
mpg,MLPRegressor2,MAE,0.138 ±0.031
mpg,MLPRegressor2,R2,0.936 ±0.012
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.642 ±0.212
msleep,KNeighborsRegressor,MAE,0.392 ±0.135
msleep,KNeighborsRegressor,R2,0.589 ±0.103
msleep,SVR,RMSE,0.625 ±0.313
msleep,SVR,MAE,0.184 ±0.074
msleep,SVR,R2,0.612 ±0.236
msleep,RandomForestRegressor,RMSE,0.443 ±0.209
msleep,RandomForestRegressor,MAE,0.217 ±0.098
msleep,RandomForestRegressor,R2,0.804 ±0.101
msleep,GradientBoostingRegressor,RMSE,0.347 ±0.205
msleep,GradientBoostingRegressor,MAE,0.130 ±0.078
msleep,GradientBoostingRegressor,R2,0.874 ±0.093
msleep,MLPRegressor,RMSE,0.283 ±0.179
msleep,MLPRegressor,MAE,0.120 ±0.066
msleep,MLPRegressor,R2,0.893 ±0.152
msleep,MLPRegressor2,RMSE,0.227 ±0.168
msleep,MLPRegressor2,MAE,0.079 ±0.036
msleep,MLPRegressor2,R2,0.916 ±0.185
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.105 ±0.004
txhousing,KNeighborsRegressor,MAE,0.040 ±0.001
txhousing,KNeighborsRegressor,R2,0.989 ±0.001
txhousing,SVR,RMSE,0.086 ±0.019
txhousing,SVR,MAE,0.029 ±0.002
txhousing,SVR,R2,0.992 ±0.003
txhousing,RandomForestRegressor,RMSE,0.060 ±0.006
txhousing,RandomForestRegressor,MAE,0.007 ±0.000
txhousing,RandomForestRegressor,R2,0.996 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.062 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.057 ±0.004
txhousing,MLPRegressor,MAE,0.021 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.043 ±0.002
txhousing,MLPRegressor2,MAE,0.017 ±0.002
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.762 ±0.256
gtcars,KNeighborsRegressor,MAE,0.402 ±0.142
gtcars,KNeighborsRegressor,R2,0.438 ±0.143
gtcars,SVR,RMSE,0.744 ±0.277
gtcars,SVR,MAE,0.340 ±0.122
gtcars,SVR,R2,0.484 ±0.124
gtcars,RandomForestRegressor,RMSE,0.727 ±0.256
gtcars,RandomForestRegressor,MAE,0.308 ±0.093
gtcars,RandomForestRegressor,R2,0.493 ±0.137
gtcars,GradientBoostingRegressor,RMSE,0.774 ±0.263
gtcars,GradientBoostingRegressor,MAE,0.307 ±0.090
gtcars,GradientBoostingRegressor,R2,0.410 ±0.214
gtcars,MLPRegressor,RMSE,0.865 ±0.252
gtcars,MLPRegressor,MAE,0.349 ±0.076
gtcars,MLPRegressor,R2,0.158 ±0.565
gtcars,MLPRegressor2,RMSE,0.903 ±0.267
gtcars,MLPRegressor2,MAE,0.343 ±0.094
gtcars,MLPRegressor2,R2,0.085 ±0.662
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.862 ±0.093
water,KNeighborsRegressor,MAE,0.666 ±0.112
water,KNeighborsRegressor,R2,0.226 ±0.157
water,SVR,RMSE,0.865 ±0.122
water,SVR,MAE,0.677 ±0.094
water,SVR,R2,0.229 ±0.138
water,RandomForestRegressor,RMSE,0.904 ±0.087
water,RandomForestRegressor,MAE,0.655 ±0.094
water,RandomForestRegressor,R2,0.139 ±0.219
water,GradientBoostingRegressor,RMSE,0.981 ±0.110
water,GradientBoostingRegressor,MAE,0.715 ±0.098
water,GradientBoostingRegressor,R2,-0.018 ±0.285
water,MLPRegressor,RMSE,0.807 ±0.099
water,MLPRegressor,MAE,0.623 ±0.099
water,MLPRegressor,R2,0.322 ±0.147
water,MLPRegressor2,RMSE,0.852 ±0.095
water,MLPRegressor2,MAE,0.635 ±0.096
water,MLPRegressor2,R2,0.246 ±0.148
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.691 ±0.245
ca2006,KNeighborsRegressor,MAE,0.449 ±0.207
ca2006,KNeighborsRegressor,R2,0.464 ±0.348
ca2006,SVR,RMSE,0.667 ±0.247
ca2006,SVR,MAE,0.315 ±0.183
ca2006,SVR,R2,0.517 ±0.271
ca2006,RandomForestRegressor,RMSE,0.509 ±0.203
