,,,SumEncoder
mpg,GradientBoostingRegressor,RMSE,0.271 ±0.074
mpg,GradientBoostingRegressor,MAE,0.131 ±0.024
mpg,GradientBoostingRegressor,R2,0.928 ±0.019
mpg,MLPRegressor,RMSE,0.318 ±0.098
mpg,MLPRegressor,MAE,0.165 ±0.021
mpg,MLPRegressor,R2,0.899 ±0.039
mpg,MLPRegressor2,RMSE,0.282 ±0.081
mpg,MLPRegressor2,MAE,0.148 ±0.021
mpg,MLPRegressor2,R2,0.921 ±0.028
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.719 ±0.190
msleep,KNeighborsRegressor,MAE,0.503 ±0.151
msleep,KNeighborsRegressor,R2,0.461 ±0.153
msleep,SVR,RMSE,0.726 ±0.284
msleep,SVR,MAE,0.363 ±0.138
msleep,SVR,R2,0.471 ±0.215
msleep,RandomForestRegressor,RMSE,0.501 ±0.228
msleep,RandomForestRegressor,MAE,0.232 ±0.111
msleep,RandomForestRegressor,R2,0.747 ±0.132
msleep,GradientBoostingRegressor,RMSE,0.381 ±0.204
msleep,GradientBoostingRegressor,MAE,0.159 ±0.104
msleep,GradientBoostingRegressor,R2,0.844 ±0.123
msleep,MLPRegressor,RMSE,0.583 ±0.206
msleep,MLPRegressor,MAE,0.361 ±0.151
msleep,MLPRegressor,R2,0.614 ±0.248
msleep,MLPRegressor2,RMSE,0.496 ±0.121
msleep,MLPRegressor2,MAE,0.305 ±0.108
msleep,MLPRegressor2,R2,0.720 ±0.168
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.095 ±0.005
txhousing,KNeighborsRegressor,MAE,0.017 ±0.001
txhousing,KNeighborsRegressor,R2,0.991 ±0.001
txhousing,SVR,RMSE,0.080 ±0.016
txhousing,SVR,MAE,0.033 ±0.001
txhousing,SVR,R2,0.993 ±0.002
txhousing,RandomForestRegressor,RMSE,0.059 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.051 ±0.004
txhousing,MLPRegressor,MAE,0.020 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.041 ±0.002
txhousing,MLPRegressor2,MAE,0.018 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.814 ±0.267
gtcars,KNeighborsRegressor,MAE,0.447 ±0.131
gtcars,KNeighborsRegressor,R2,0.342 ±0.235
gtcars,SVR,RMSE,0.786 ±0.282
gtcars,SVR,MAE,0.392 ±0.115
gtcars,SVR,R2,0.420 ±0.121
gtcars,RandomForestRegressor,RMSE,0.693 ±0.283
gtcars,RandomForestRegressor,MAE,0.303 ±0.086
gtcars,RandomForestRegressor,R2,0.547 ±0.160
gtcars,GradientBoostingRegressor,RMSE,0.700 ±0.286
gtcars,GradientBoostingRegressor,MAE,0.291 ±0.071
gtcars,GradientBoostingRegressor,R2,0.532 ±0.185
gtcars,MLPRegressor,RMSE,0.834 ±0.252
gtcars,MLPRegressor,MAE,0.385 ±0.090
gtcars,MLPRegressor,R2,0.268 ±0.408
gtcars,MLPRegressor2,RMSE,0.838 ±0.246
gtcars,MLPRegressor2,MAE,0.387 ±0.087
gtcars,MLPRegressor2,R2,0.279 ±0.313
water,ElasticNet,RMSE,0.930 ±0.144
water,ElasticNet,MAE,0.740 ±0.141
water,ElasticNet,R2,0.124 ±0.067
water,KNeighborsRegressor,RMSE,0.722 ±0.091
water,KNeighborsRegressor,MAE,0.560 ±0.121
water,KNeighborsRegressor,R2,0.463 ±0.085
water,SVR,RMSE,0.751 ±0.114
water,SVR,MAE,0.576 ±0.115
water,SVR,R2,0.418 ±0.126
water,RandomForestRegressor,RMSE,0.798 ±0.090
water,RandomForestRegressor,MAE,0.566 ±0.117
water,RandomForestRegressor,R2,0.333 ±0.156
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.632 ±0.128
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.710 ±0.101
water,MLPRegressor,MAE,0.540 ±0.128
water,MLPRegressor,R2,0.478 ±0.125
water,MLPRegressor2,RMSE,0.753 ±0.115
water,MLPRegressor2,MAE,0.570 ±0.125
water,MLPRegressor2,R2,0.414 ±0.138
ca2006,ElasticNet,RMSE,0.752 ±0.203
ca2006,ElasticNet,MAE,0.582 ±0.213
ca2006,ElasticNet,R2,0.396 ±0.238
ca2006,KNeighborsRegressor,RMSE,0.657 ±0.234
ca2006,KNeighborsRegressor,MAE,0.430 ±0.167
ca2006,KNeighborsRegressor,R2,0.515 ±0.330
ca2006,SVR,RMSE,0.633 ±0.230
ca2006,SVR,MAE,0.287 ±0.167
ca2006,SVR,R2,0.566 ±0.244
ca2006,RandomForestRegressor,RMSE,0.488 ±0.198
ca2006,RandomForestRegressor,MAE,0.282 ±0.127
ca2006,RandomForestRegressor,R2,0.739 ±0.167
ca2006,GradientBoostingRegressor,RMSE,0.422 ±0.155
ca2006,GradientBoostingRegressor,MAE,0.245 ±0.107
ca2006,GradientBoostingRegressor,R2,0.801 ±0.129
ca2006,MLPRegressor,RMSE,0.420 ±0.123
ca2006,MLPRegressor,MAE,0.239 ±0.083
ca2006,MLPRegressor,R2,0.795 ±0.115
ca2006,MLPRegressor2,RMSE,0.411 ±0.134
ca2006,MLPRegressor2,MAE,0.237 ±0.081
ca2006,MLPRegressor2,R2,0.798 ±0.152
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.371 ±0.041
UKHouseOfCommons,KNeighborsRegressor,MAE,0.162 ±0.015
UKHouseOfCommons,KNeighborsRegressor,R2,0.862 ±0.020
UKHouseOfCommons,SVR,RMSE,0.329 ±0.075
UKHouseOfCommons,SVR,MAE,0.115 ±0.012
UKHouseOfCommons,SVR,R2,0.891 ±0.036
UKHouseOfCommons,RandomForestRegressor,RMSE,0.254 ±0.053
UKHouseOfCommons,RandomForestRegressor,MAE,0.088 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.935 ±0.021
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.198 ±0.041
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.086 ±0.010
UKHouseOfCommons,GradientBoostingRegressor,R2,0.960 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.266 ±0.035
UKHouseOfCommons,MLPRegressor,MAE,0.132 ±0.019
UKHouseOfCommons,MLPRegressor,R2,0.929 ±0.015
UKHouseOfCommons,MLPRegressor2,RMSE,0.229 ±0.026
UKHouseOfCommons,MLPRegressor2,MAE,0.115 ±0.011
UKHouseOfCommons,MLPRegressor2,R2,0.947 ±0.010
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.621 ±0.076
myeloid,KNeighborsRegressor,MAE,0.293 ±0.053
myeloid,KNeighborsRegressor,R2,0.610 ±0.051
myeloid,SVR,RMSE,0.560 ±0.067
myeloid,SVR,MAE,0.226 ±0.044
myeloid,SVR,R2,0.681 ±0.056
myeloid,RandomForestRegressor,RMSE,0.574 ±0.060
myeloid,RandomForestRegressor,MAE,0.262 ±0.040
myeloid,RandomForestRegressor,R2,0.661 ±0.072
myeloid,GradientBoostingRegressor,RMSE,0.622 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.272 ±0.048
myeloid,GradientBoostingRegressor,R2,0.603 ±0.099
myeloid,MLPRegressor,RMSE,0.610 ±0.066
myeloid,MLPRegressor,MAE,0.269 ±0.055
