,,,LeaveOneOutEncoder
mpg,GradientBoostingRegressor,RMSE,0.288 ±0.090
mpg,GradientBoostingRegressor,MAE,0.142 ±0.019
mpg,GradientBoostingRegressor,R2,0.919 ±0.031
mpg,MLPRegressor,RMSE,0.308 ±0.085
mpg,MLPRegressor,MAE,0.166 ±0.020
mpg,MLPRegressor,R2,0.906 ±0.031
mpg,MLPRegressor2,RMSE,0.278 ±0.068
mpg,MLPRegressor2,MAE,0.153 ±0.020
mpg,MLPRegressor2,R2,0.924 ±0.020
msleep,ElasticNet,RMSE,0.742 ±0.195
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.440 ±0.095
msleep,KNeighborsRegressor,RMSE,0.664 ±0.206
msleep,KNeighborsRegressor,MAE,0.399 ±0.134
msleep,KNeighborsRegressor,R2,0.553 ±0.131
msleep,SVR,RMSE,0.655 ±0.304
msleep,SVR,MAE,0.237 ±0.085
msleep,SVR,R2,0.566 ±0.256
msleep,RandomForestRegressor,RMSE,0.470 ±0.206
msleep,RandomForestRegressor,MAE,0.239 ±0.116
msleep,RandomForestRegressor,R2,0.773 ±0.127
msleep,GradientBoostingRegressor,RMSE,0.351 ±0.208
msleep,GradientBoostingRegressor,MAE,0.152 ±0.098
msleep,GradientBoostingRegressor,R2,0.868 ±0.110
msleep,MLPRegressor,RMSE,0.353 ±0.186
msleep,MLPRegressor,MAE,0.172 ±0.082
msleep,MLPRegressor,R2,0.839 ±0.167
msleep,MLPRegressor2,RMSE,0.249 ±0.124
msleep,MLPRegressor2,MAE,0.116 ±0.062
msleep,MLPRegressor2,R2,0.922 ±0.070
txhousing,ElasticNet,RMSE,0.614 ±0.034
txhousing,ElasticNet,MAE,0.243 ±0.003
txhousing,ElasticNet,R2,0.625 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.005
txhousing,KNeighborsRegressor,MAE,0.036 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.081 ±0.018
txhousing,SVR,MAE,0.027 ±0.001
txhousing,SVR,R2,0.993 ±0.003
txhousing,RandomForestRegressor,RMSE,0.057 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.055 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.056 ±0.004
txhousing,MLPRegressor,MAE,0.020 ±0.002
txhousing,MLPRegressor,R2,0.997 ±0.001
txhousing,MLPRegressor2,RMSE,0.043 ±0.003
txhousing,MLPRegressor2,MAE,0.016 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.259 ±0.097
gtcars,KNeighborsRegressor,RMSE,0.789 ±0.258
gtcars,KNeighborsRegressor,MAE,0.405 ±0.150
gtcars,KNeighborsRegressor,R2,0.389 ±0.193
gtcars,SVR,RMSE,0.754 ±0.279
gtcars,SVR,MAE,0.355 ±0.123
gtcars,SVR,R2,0.470 ±0.121
gtcars,RandomForestRegressor,RMSE,0.727 ±0.254
gtcars,RandomForestRegressor,MAE,0.327 ±0.099
gtcars,RandomForestRegressor,R2,0.475 ±0.227
gtcars,GradientBoostingRegressor,RMSE,0.781 ±0.254
gtcars,GradientBoostingRegressor,MAE,0.304 ±0.082
gtcars,GradientBoostingRegressor,R2,0.350 ±0.456
gtcars,MLPRegressor,RMSE,0.846 ±0.218
gtcars,MLPRegressor,MAE,0.354 ±0.107
gtcars,MLPRegressor,R2,0.237 ±0.383
gtcars,MLPRegressor2,RMSE,0.842 ±0.249
gtcars,MLPRegressor2,MAE,0.369 ±0.098
gtcars,MLPRegressor2,R2,0.212 ±0.610
water,ElasticNet,RMSE,0.969 ±0.149
water,ElasticNet,MAE,0.747 ±0.160
water,ElasticNet,R2,0.049 ±0.070
water,KNeighborsRegressor,RMSE,0.724 ±0.096
water,KNeighborsRegressor,MAE,0.562 ±0.120
water,KNeighborsRegressor,R2,0.459 ±0.100
water,SVR,RMSE,0.760 ±0.114
water,SVR,MAE,0.593 ±0.120
water,SVR,R2,0.405 ±0.119
water,RandomForestRegressor,RMSE,0.798 ±0.090
water,RandomForestRegressor,MAE,0.566 ±0.120
water,RandomForestRegressor,R2,0.332 ±0.158
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.633 ±0.126
water,GradientBoostingRegressor,R2,0.184 ±0.236
water,MLPRegressor,RMSE,0.708 ±0.098
water,MLPRegressor,MAE,0.540 ±0.124
water,MLPRegressor,R2,0.481 ±0.118
water,MLPRegressor2,RMSE,0.757 ±0.103
water,MLPRegressor2,MAE,0.577 ±0.123
water,MLPRegressor2,R2,0.405 ±0.133
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.205
ca2006,ElasticNet,R2,0.384 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.663 ±0.239
ca2006,KNeighborsRegressor,MAE,0.429 ±0.176
ca2006,KNeighborsRegressor,R2,0.509 ±0.326
ca2006,SVR,RMSE,0.653 ±0.237
ca2006,SVR,MAE,0.292 ±0.180
ca2006,SVR,R2,0.539 ±0.253
ca2006,RandomForestRegressor,RMSE,0.486 ±0.184
ca2006,RandomForestRegressor,MAE,0.273 ±0.117
ca2006,RandomForestRegressor,R2,0.741 ±0.150
ca2006,GradientBoostingRegressor,RMSE,0.418 ±0.151
ca2006,GradientBoostingRegressor,MAE,0.242 ±0.089
ca2006,GradientBoostingRegressor,R2,0.807 ±0.125
ca2006,MLPRegressor,RMSE,0.404 ±0.102
ca2006,MLPRegressor,MAE,0.224 ±0.079
ca2006,MLPRegressor,R2,0.810 ±0.103
ca2006,MLPRegressor2,RMSE,0.375 ±0.106
ca2006,MLPRegressor2,MAE,0.223 ±0.079
ca2006,MLPRegressor2,R2,0.841 ±0.082
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.376 ±0.044
UKHouseOfCommons,KNeighborsRegressor,MAE,0.164 ±0.014
UKHouseOfCommons,KNeighborsRegressor,R2,0.858 ±0.022
UKHouseOfCommons,SVR,RMSE,0.308 ±0.093
UKHouseOfCommons,SVR,MAE,0.062 ±0.006
UKHouseOfCommons,SVR,R2,0.903 ±0.044
UKHouseOfCommons,RandomForestRegressor,RMSE,0.250 ±0.053
UKHouseOfCommons,RandomForestRegressor,MAE,0.091 ±0.010
UKHouseOfCommons,RandomForestRegressor,R2,0.937 ±0.021
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.191 ±0.044
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.082 ±0.011
UKHouseOfCommons,GradientBoostingRegressor,R2,0.963 ±0.014
