,,,HashingEncoder
mpg,GradientBoostingRegressor,RMSE,0.291 ±0.075
mpg,GradientBoostingRegressor,MAE,0.139 ±0.021
mpg,GradientBoostingRegressor,R2,0.917 ±0.019
mpg,MLPRegressor,RMSE,0.289 ±0.056
mpg,MLPRegressor,MAE,0.162 ±0.020
mpg,MLPRegressor,R2,0.917 ±0.015
mpg,MLPRegressor2,RMSE,0.268 ±0.041
mpg,MLPRegressor2,MAE,0.154 ±0.022
mpg,MLPRegressor2,R2,0.928 ±0.012
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.731 ±0.217
msleep,KNeighborsRegressor,MAE,0.430 ±0.175
msleep,KNeighborsRegressor,R2,0.464 ±0.105
msleep,SVR,RMSE,0.742 ±0.315
msleep,SVR,MAE,0.350 ±0.142
msleep,SVR,R2,0.458 ±0.252
msleep,RandomForestRegressor,RMSE,0.504 ±0.215
msleep,RandomForestRegressor,MAE,0.245 ±0.115
msleep,RandomForestRegressor,R2,0.750 ±0.105
msleep,GradientBoostingRegressor,RMSE,0.378 ±0.204
msleep,GradientBoostingRegressor,MAE,0.175 ±0.106
msleep,GradientBoostingRegressor,R2,0.847 ±0.117
msleep,MLPRegressor,RMSE,0.458 ±0.154
msleep,MLPRegressor,MAE,0.266 ±0.096
msleep,MLPRegressor,R2,0.758 ±0.150
msleep,MLPRegressor2,RMSE,0.432 ±0.171
msleep,MLPRegressor2,MAE,0.245 ±0.102
msleep,MLPRegressor2,R2,0.788 ±0.157
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.102 ±0.005
txhousing,KNeighborsRegressor,MAE,0.032 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.086 ±0.018
txhousing,SVR,MAE,0.034 ±0.001
txhousing,SVR,R2,0.992 ±0.003
txhousing,RandomForestRegressor,RMSE,0.059 ±0.005
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.996 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.055 ±0.004
txhousing,MLPRegressor,MAE,0.024 ±0.002
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.041 ±0.002
txhousing,MLPRegressor2,MAE,0.019 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.794 ±0.240
gtcars,KNeighborsRegressor,MAE,0.443 ±0.110
gtcars,KNeighborsRegressor,R2,0.368 ±0.201
gtcars,SVR,RMSE,0.768 ±0.285
gtcars,SVR,MAE,0.382 ±0.142
gtcars,SVR,R2,0.449 ±0.125
gtcars,RandomForestRegressor,RMSE,0.728 ±0.262
gtcars,RandomForestRegressor,MAE,0.319 ±0.087
gtcars,RandomForestRegressor,R2,0.487 ±0.168
gtcars,GradientBoostingRegressor,RMSE,0.789 ±0.245
gtcars,GradientBoostingRegressor,MAE,0.309 ±0.079
gtcars,GradientBoostingRegressor,R2,0.365 ±0.313
gtcars,MLPRegressor,RMSE,0.929 ±0.196
gtcars,MLPRegressor,MAE,0.421 ±0.105
gtcars,MLPRegressor,R2,0.006 ±0.663
gtcars,MLPRegressor2,RMSE,0.912 ±0.212
gtcars,MLPRegressor2,MAE,0.401 ±0.096
gtcars,MLPRegressor2,R2,0.027 ±0.793
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.722 ±0.093
water,KNeighborsRegressor,MAE,0.561 ±0.117
water,KNeighborsRegressor,R2,0.462 ±0.099
water,SVR,RMSE,0.759 ±0.112
water,SVR,MAE,0.584 ±0.111
water,SVR,R2,0.408 ±0.115
water,RandomForestRegressor,RMSE,0.797 ±0.093
water,RandomForestRegressor,MAE,0.560 ±0.116
water,RandomForestRegressor,R2,0.334 ±0.159
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.632 ±0.131
water,GradientBoostingRegressor,R2,0.182 ±0.236
water,MLPRegressor,RMSE,0.711 ±0.104
water,MLPRegressor,MAE,0.542 ±0.135
water,MLPRegressor,R2,0.475 ±0.137
water,MLPRegressor2,RMSE,0.755 ±0.110
water,MLPRegressor2,MAE,0.574 ±0.127
water,MLPRegressor2,R2,0.408 ±0.146
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.672 ±0.244
ca2006,KNeighborsRegressor,MAE,0.436 ±0.188
ca2006,KNeighborsRegressor,R2,0.495 ±0.337
ca2006,SVR,RMSE,0.631 ±0.230
ca2006,SVR,MAE,0.279 ±0.164
ca2006,SVR,R2,0.569 ±0.237
ca2006,RandomForestRegressor,RMSE,0.474 ±0.191
ca2006,RandomForestRegressor,MAE,0.271 ±0.120
ca2006,RandomForestRegressor,R2,0.753 ±0.168
ca2006,GradientBoostingRegressor,RMSE,0.395 ±0.150
ca2006,GradientBoostingRegressor,MAE,0.227 ±0.107
ca2006,GradientBoostingRegressor,R2,0.828 ±0.108
ca2006,MLPRegressor,RMSE,0.408 ±0.131
ca2006,MLPRegressor,MAE,0.222 ±0.093
ca2006,MLPRegressor,R2,0.808 ±0.120
ca2006,MLPRegressor2,RMSE,0.383 ±0.123
ca2006,MLPRegressor2,MAE,0.234 ±0.095
ca2006,MLPRegressor2,R2,0.836 ±0.086
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.410 ±0.038
UKHouseOfCommons,KNeighborsRegressor,MAE,0.205 ±0.016
UKHouseOfCommons,KNeighborsRegressor,R2,0.832 ±0.021
UKHouseOfCommons,SVR,RMSE,0.331 ±0.087
UKHouseOfCommons,SVR,MAE,0.077 ±0.008
UKHouseOfCommons,SVR,R2,0.889 ±0.043
UKHouseOfCommons,RandomForestRegressor,RMSE,0.243 ±0.052
UKHouseOfCommons,RandomForestRegressor,MAE,0.088 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.940 ±0.020
