,,,CountEncoder
mpg,GradientBoostingRegressor,RMSE,0.286 ±0.079
mpg,GradientBoostingRegressor,MAE,0.132 ±0.022
mpg,GradientBoostingRegressor,R2,0.920 ±0.022
mpg,MLPRegressor,RMSE,1.537 ±1.565
mpg,MLPRegressor,MAE,1.131 ±1.376
mpg,MLPRegressor,R2,-3.480 ±6.483
mpg,MLPRegressor2,RMSE,0.722 ±0.435
mpg,MLPRegressor2,MAE,0.379 ±0.348
mpg,MLPRegressor2,R2,0.331 ±0.887
msleep,ElasticNet,RMSE,0.748 ±0.193
msleep,ElasticNet,MAE,0.413 ±0.117
msleep,ElasticNet,R2,0.425 ±0.131
msleep,KNeighborsRegressor,RMSE,0.803 ±0.253
msleep,KNeighborsRegressor,MAE,0.484 ±0.172
msleep,KNeighborsRegressor,R2,0.335 ±0.227
msleep,SVR,RMSE,0.746 ±0.301
msleep,SVR,MAE,0.327 ±0.119
msleep,SVR,R2,0.439 ±0.241
msleep,RandomForestRegressor,RMSE,0.461 ±0.216
msleep,RandomForestRegressor,MAE,0.239 ±0.128
msleep,RandomForestRegressor,R2,0.786 ±0.119
msleep,GradientBoostingRegressor,RMSE,0.378 ±0.213
msleep,GradientBoostingRegressor,MAE,0.157 ±0.111
msleep,GradientBoostingRegressor,R2,0.850 ±0.118
msleep,MLPRegressor,RMSE,0.413 ±0.173
msleep,MLPRegressor,MAE,0.235 ±0.116
msleep,MLPRegressor,R2,0.803 ±0.137
msleep,MLPRegressor2,RMSE,0.343 ±0.137
msleep,MLPRegressor2,MAE,0.197 ±0.094
msleep,MLPRegressor2,R2,0.854 ±0.113
txhousing,ElasticNet,RMSE,0.641 ±0.032
txhousing,ElasticNet,MAE,0.227 ±0.012
txhousing,ElasticNet,R2,0.590 ±0.006
txhousing,KNeighborsRegressor,RMSE,0.101 ±0.007
txhousing,KNeighborsRegressor,MAE,0.020 ±0.002
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.385 ±0.030
txhousing,SVR,MAE,0.064 ±0.003
txhousing,SVR,R2,0.853 ±0.011
txhousing,RandomForestRegressor,RMSE,0.059 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.996 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.061 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.001
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.071 ±0.011
txhousing,MLPRegressor,MAE,0.029 ±0.010
txhousing,MLPRegressor,R2,0.995 ±0.002
txhousing,MLPRegressor2,RMSE,0.076 ±0.021
txhousing,MLPRegressor2,MAE,0.040 ±0.023
txhousing,MLPRegressor2,R2,0.994 ±0.004
gtcars,ElasticNet,RMSE,0.972 ±0.277
gtcars,ElasticNet,MAE,0.581 ±0.156
gtcars,ElasticNet,R2,0.067 ±0.191
gtcars,KNeighborsRegressor,RMSE,1.040 ±0.273
gtcars,KNeighborsRegressor,MAE,0.590 ±0.192
gtcars,KNeighborsRegressor,R2,-0.089 ±0.274
gtcars,SVR,RMSE,0.989 ±0.332
gtcars,SVR,MAE,0.562 ±0.146
gtcars,SVR,R2,0.059 ±0.240
gtcars,RandomForestRegressor,RMSE,0.725 ±0.258
gtcars,RandomForestRegressor,MAE,0.339 ±0.101
gtcars,RandomForestRegressor,R2,0.495 ±0.147
gtcars,GradientBoostingRegressor,RMSE,0.770 ±0.253
gtcars,GradientBoostingRegressor,MAE,0.310 ±0.092
gtcars,GradientBoostingRegressor,R2,0.404 ±0.269
gtcars,MLPRegressor,RMSE,1.069 ±0.343
gtcars,MLPRegressor,MAE,0.533 ±0.304
gtcars,MLPRegressor,R2,-0.263 ±0.770
gtcars,MLPRegressor2,RMSE,0.993 ±0.275
gtcars,MLPRegressor2,MAE,0.494 ±0.158
gtcars,MLPRegressor2,R2,-0.098 ±0.637
water,ElasticNet,RMSE,0.830 ±0.164
water,ElasticNet,MAE,0.644 ±0.164
water,ElasticNet,R2,0.301 ±0.139
water,KNeighborsRegressor,RMSE,0.721 ±0.091
water,KNeighborsRegressor,MAE,0.561 ±0.120
water,KNeighborsRegressor,R2,0.465 ±0.085
water,SVR,RMSE,0.774 ±0.138
water,SVR,MAE,0.599 ±0.130
water,SVR,R2,0.391 ±0.112
water,RandomForestRegressor,RMSE,0.794 ±0.090
water,RandomForestRegressor,MAE,0.562 ±0.132
water,RandomForestRegressor,R2,0.339 ±0.157
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.631 ±0.129
water,GradientBoostingRegressor,R2,0.182 ±0.236
water,MLPRegressor,RMSE,0.881 ±0.184
water,MLPRegressor,MAE,0.669 ±0.157
water,MLPRegressor,R2,0.155 ±0.405
water,MLPRegressor2,RMSE,0.743 ±0.108
water,MLPRegressor2,MAE,0.575 ±0.118
water,MLPRegressor2,R2,0.423 ±0.154
ca2006,ElasticNet,RMSE,0.714 ±0.184
ca2006,ElasticNet,MAE,0.519 ±0.198
ca2006,ElasticNet,R2,0.471 ±0.107
ca2006,KNeighborsRegressor,RMSE,0.661 ±0.207
ca2006,KNeighborsRegressor,MAE,0.426 ±0.137
ca2006,KNeighborsRegressor,R2,0.515 ±0.262
ca2006,SVR,RMSE,0.818 ±0.193
ca2006,SVR,MAE,0.609 ±0.231
ca2006,SVR,R2,0.301 ±0.124
ca2006,RandomForestRegressor,RMSE,0.480 ±0.198
ca2006,RandomForestRegressor,MAE,0.277 ±0.132
ca2006,RandomForestRegressor,R2,0.744 ±0.180
ca2006,GradientBoostingRegressor,RMSE,0.417 ±0.163
ca2006,GradientBoostingRegressor,MAE,0.238 ±0.104
ca2006,GradientBoostingRegressor,R2,0.807 ±0.127
ca2006,MLPRegressor,RMSE,0.533 ±0.227
ca2006,MLPRegressor,MAE,0.295 ±0.217
ca2006,MLPRegressor,R2,0.648 ±0.315
ca2006,MLPRegressor2,RMSE,0.429 ±0.132
ca2006,MLPRegressor2,MAE,0.223 ±0.085
ca2006,MLPRegressor2,R2,0.758 ±0.253
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.452 ±0.043
UKHouseOfCommons,KNeighborsRegressor,MAE,0.225 ±0.021
UKHouseOfCommons,KNeighborsRegressor,R2,0.795 ±0.025
UKHouseOfCommons,SVR,RMSE,0.295 ±0.071
UKHouseOfCommons,SVR,MAE,0.082 ±0.008
UKHouseOfCommons,SVR,R2,0.912 ±0.031
UKHouseOfCommons,RandomForestRegressor,RMSE,0.239 ±0.054
UKHouseOfCommons,RandomForestRegressor,MAE,0.084 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.942 ±0.021
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.185 ±0.043
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.079 ±0.009
UKHouseOfCommons,GradientBoostingRegressor,R2,0.965 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.199 ±0.044
UKHouseOfCommons,MLPRegressor,MAE,0.117 ±0.044
UKHouseOfCommons,MLPRegressor,R2,0.959 ±0.018
UKHouseOfCommons,MLPRegressor2,RMSE,0.174 ±0.037
UKHouseOfCommons,MLPRegressor2,MAE,0.108 ±0.045
UKHouseOfCommons,MLPRegressor2,R2,0.969 ±0.014
myeloid,ElasticNet,RMSE,0.873 ±0.109
myeloid,ElasticNet,MAE,0.728 ±0.078
myeloid,ElasticNet,R2,0.235 ±0.062
myeloid,KNeighborsRegressor,RMSE,0.672 ±0.094
myeloid,KNeighborsRegressor,MAE,0.314 ±0.063
myeloid,KNeighborsRegressor,R2,0.544 ±0.070
myeloid,SVR,RMSE,1.013 ±0.150
myeloid,SVR,MAE,0.636 ±0.080
myeloid,SVR,R2,-0.027 ±0.128
myeloid,RandomForestRegressor,RMSE,0.571 ±0.058
myeloid,RandomForestRegressor,MAE,0.262 ±0.043
myeloid,RandomForestRegressor,R2,0.666 ±0.069
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.087
myeloid,GradientBoostingRegressor,MAE,0.273 ±0.049
myeloid,GradientBoostingRegressor,R2,0.605 ±0.098
myeloid,MLPRegressor,RMSE,1.180 ±0.650
myeloid,MLPRegressor,MAE,0.830 ±0.643
myeloid,MLPRegressor,R2,-0.873 ±1.805
myeloid,MLPRegressor2,RMSE,0.678 ±0.410
myeloid,MLPRegressor2,MAE,0.373 ±0.470
myeloid,MLPRegressor2,R2,0.340 ±1.492
us_rent_income,ElasticNet,RMSE,0.589 ±0.225
us_rent_income,ElasticNet,MAE,0.547 ±0.248
us_rent_income,ElasticNet,R2,0.599 ±0.258
us_rent_income,KNeighborsRegressor,RMSE,0.206 ±0.030
us_rent_income,KNeighborsRegressor,MAE,0.030 ±0.011
us_rent_income,KNeighborsRegressor,R2,0.957 ±0.010
us_rent_income,SVR,RMSE,0.594 ±0.310
us_rent_income,SVR,MAE,0.456 ±0.319
us_rent_income,SVR,R2,0.546 ±0.374
us_rent_income,RandomForestRegressor,RMSE,0.216 ±0.029
us_rent_income,RandomForestRegressor,MAE,0.032 ±0.013
us_rent_income,RandomForestRegressor,R2,0.952 ±0.012
us_rent_income,GradientBoostingRegressor,RMSE,0.240 ±0.035
us_rent_income,GradientBoostingRegressor,MAE,0.029 ±0.010
us_rent_income,GradientBoostingRegressor,R2,0.940 ±0.016
us_rent_income,MLPRegressor,RMSE,0.907 ±0.293
us_rent_income,MLPRegressor,MAE,0.751 ±0.454
us_rent_income,MLPRegressor,R2,0.072 ±0.525
us_rent_income,MLPRegressor2,RMSE,0.412 ±0.250
us_rent_income,MLPRegressor2,MAE,0.265 ±0.280
us_rent_income,MLPRegressor2,R2,0.766 ±0.321
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.527 ±0.041
Baseball,ElasticNet,R2,0.501 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.768 ±0.080
Baseball,KNeighborsRegressor,MAE,0.510 ±0.066
