,,,PolynomialEncoder
mpg,GradientBoostingRegressor,RMSE,0.288 ±0.093
mpg,GradientBoostingRegressor,MAE,0.142 ±0.025
mpg,GradientBoostingRegressor,R2,0.919 ±0.030
mpg,MLPRegressor,RMSE,0.312 ±0.091
mpg,MLPRegressor,MAE,0.160 ±0.021
mpg,MLPRegressor,R2,0.904 ±0.035
mpg,MLPRegressor2,RMSE,0.276 ±0.086
mpg,MLPRegressor2,MAE,0.145 ±0.026
mpg,MLPRegressor2,R2,0.924 ±0.031
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.669 ±0.194
msleep,KNeighborsRegressor,MAE,0.401 ±0.136
msleep,KNeighborsRegressor,R2,0.545 ±0.105
msleep,SVR,RMSE,0.689 ±0.284
msleep,SVR,MAE,0.331 ±0.133
msleep,SVR,R2,0.526 ±0.222
msleep,RandomForestRegressor,RMSE,0.632 ±0.242
msleep,RandomForestRegressor,MAE,0.279 ±0.143
msleep,RandomForestRegressor,R2,0.606 ±0.135
msleep,GradientBoostingRegressor,RMSE,0.484 ±0.206
msleep,GradientBoostingRegressor,MAE,0.241 ±0.128
msleep,GradientBoostingRegressor,R2,0.757 ±0.137
msleep,MLPRegressor,RMSE,0.552 ±0.242
msleep,MLPRegressor,MAE,0.347 ±0.158
msleep,MLPRegressor,R2,0.677 ±0.191
msleep,MLPRegressor2,RMSE,0.487 ±0.165
msleep,MLPRegressor2,MAE,0.280 ±0.127
msleep,MLPRegressor2,R2,0.736 ±0.159
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.095 ±0.005
txhousing,KNeighborsRegressor,MAE,0.017 ±0.001
txhousing,KNeighborsRegressor,R2,0.991 ±0.001
txhousing,SVR,RMSE,0.082 ±0.016
txhousing,SVR,MAE,0.034 ±0.001
txhousing,SVR,R2,0.993 ±0.002
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.057 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.010 ±0.000
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.050 ±0.003
txhousing,MLPRegressor,MAE,0.021 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.041 ±0.003
txhousing,MLPRegressor2,MAE,0.018 ±0.002
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.772 ±0.267
gtcars,KNeighborsRegressor,MAE,0.432 ±0.142
gtcars,KNeighborsRegressor,R2,0.423 ±0.172
gtcars,SVR,RMSE,0.761 ±0.275
