,,,OneHotEncoder
mpg,GradientBoostingRegressor,RMSE,0.272 ±0.075
mpg,GradientBoostingRegressor,MAE,0.131 ±0.025
mpg,GradientBoostingRegressor,R2,0.928 ±0.020
mpg,MLPRegressor,RMSE,0.294 ±0.084
mpg,MLPRegressor,MAE,0.157 ±0.021
mpg,MLPRegressor,R2,0.915 ±0.027
mpg,MLPRegressor2,RMSE,0.264 ±0.078
mpg,MLPRegressor2,MAE,0.142 ±0.026
mpg,MLPRegressor2,R2,0.931 ±0.024
msleep,ElasticNet,RMSE,0.741 ±0.197
msleep,ElasticNet,MAE,0.402 ±0.115
msleep,ElasticNet,R2,0.442 ±0.096
msleep,KNeighborsRegressor,RMSE,0.669 ±0.194
msleep,KNeighborsRegressor,MAE,0.401 ±0.136
msleep,KNeighborsRegressor,R2,0.545 ±0.105
msleep,SVR,RMSE,0.713 ±0.290
msleep,SVR,MAE,0.338 ±0.133
msleep,SVR,R2,0.495 ±0.223
msleep,RandomForestRegressor,RMSE,0.503 ±0.218
msleep,RandomForestRegressor,MAE,0.229 ±0.120
msleep,RandomForestRegressor,R2,0.748 ±0.116
msleep,GradientBoostingRegressor,RMSE,0.381 ±0.215
msleep,GradientBoostingRegressor,MAE,0.166 ±0.115
msleep,GradientBoostingRegressor,R2,0.843 ±0.129
msleep,MLPRegressor,RMSE,0.525 ±0.183
msleep,MLPRegressor,MAE,0.332 ±0.148
msleep,MLPRegressor,R2,0.693 ±0.189
msleep,MLPRegressor2,RMSE,0.475 ±0.198
msleep,MLPRegressor2,MAE,0.289 ±0.139
msleep,MLPRegressor2,R2,0.724 ±0.230
txhousing,ElasticNet,RMSE,0.637 ±0.034
txhousing,ElasticNet,MAE,0.254 ±0.003
txhousing,ElasticNet,R2,0.596 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.095 ±0.005
txhousing,KNeighborsRegressor,MAE,0.017 ±0.001
txhousing,KNeighborsRegressor,R2,0.991 ±0.001
txhousing,SVR,RMSE,0.086 ±0.017
txhousing,SVR,MAE,0.034 ±0.001
txhousing,SVR,R2,0.992 ±0.003
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
